descripcion,categoria,tipo,cualidad,monto,fecha
comida a domicilio,alimentacion,egreso,variable,271.66,6/5/2026
starbucks,alimentacion,egreso,variable,81.23,6/6/2026
didi hacia el trabajo,transporte,egreso,variable,105.36,6/6/2026
tacos de canasta,alimentacion,egreso,variable,37.12,6/7/2026
paracetamol y antigripal,salud,egreso,variable,607.59,6/7/2026
viaje en uber,transporte,egreso,variable,167.37,6/7/2026
suscripcion netflix standard,ocio,egreso,fijo_no_vital,219,6/8/2026
viaje en uber,transporte,egreso,variable,89.54,6/8/2026
tacos de canasta,alimentacion,egreso,variable,76.89,6/9/2026
recibo de luz cfe,servicios,egreso,fijo_vital,263.56,6/10/2026
starbucks,alimentacion,egreso,variable,42.13,6/10/2026
spotify premium,ocio,egreso,fijo_no_vital,129,6/11/2026
tacos de canasta,alimentacion,egreso,variable,95.85,6/11/2026
recibo de agua,servicios,egreso,fijo_vital,284.49,6/12/2026
gasolinera bp,transporte,egreso,fijo_vital,425.38,6/12/2026
tacos de canasta,alimentacion,egreso,variable,130.26,6/12/2026
salida al antro,ocio,egreso,variable,355.74,6/12/2026
comida en restaurante,alimentacion,egreso,variable,556.22,6/13/2026
didi hacia el trabajo,transporte,egreso,variable,111.06,6/13/2026
comida a domicilio,alimentacion,egreso,variable,239.18,6/13/2026
tacos de canasta,alimentacion,egreso,variable,90.2,6/14/2026
comida en restaurante,alimentacion,egreso,variable,288.62,6/14/2026
pago de quincena,servicios,ingreso,fijo_vital,8100.01,6/15/2026
internet en casa,servicios,egreso,fijo_vital,450,6/15/2026
agua embotellada,alimentacion,egreso,variable,109.47,6/15/2026
compras para la casa en soriana,alimentacion,egreso,fijo_vital,1592.96,6/16/2026
agua embotellada,alimentacion,egreso,variable,37.28,6/16/2026
café matutino,alimentacion,egreso,variable,95.81,6/17/2026
pizza por uber eats,alimentacion,egreso,variable,264.12,6/17/2026
antojo en la calle,alimentacion,egreso,variable,137.37,6/18/2026
taxi de emergencia,transporte,egreso,variable,82.01,6/18/2026
gasolina mobil,transporte,egreso,fijo_vital,706.28,6/19/2026
agua embotellada,alimentacion,egreso,variable,45.27,6/19/2026
cena con amigos,alimentacion,egreso,variable,553.52,6/19/2026
uber de regreso de fiesta,transporte,egreso,variable,597.7,6/20/2026
pizza por uber eats,alimentacion,egreso,variable,151.3,6/20/2026
pago tarjeta de crédito,deudas,egreso,fijo_vital,1227.98,6/20/2026
cervezas en bar,ocio,egreso,variable,342.15,6/21/2026
farmacia san pablo,salud,egreso,variable,556.79,6/21/2026
taxi de emergencia,transporte,egreso,variable,97.28,6/21/2026
rappi hamburguesas,alimentacion,egreso,variable,181.51,6/21/2026
galletas y papas oxxo,alimentacion,egreso,variable,68.24,6/23/2026
agua embotellada,alimentacion,egreso,variable,135.91,6/24/2026
refresco en tienda,alimentacion,egreso,variable,114.03,6/25/2026
viaje en uber,transporte,egreso,variable,163.32,6/25/2026
curso en línea udemy,educacion,egreso,variable,206.57,6/25/2026
gasolina mobil,transporte,egreso,fijo_vital,602.32,6/26/2026
tacos de canasta,alimentacion,egreso,variable,78.62,6/26/2026
cena con amigos,alimentacion,egreso,variable,548.6,6/26/2026
agua embotellada,alimentacion,egreso,variable,29.66,6/28/2026
cena con amigos,alimentacion,egreso,variable,553.71,6/28/2026
didi hacia el trabajo,transporte,egreso,variable,154.59,6/28/2026
café matutino,alimentacion,egreso,variable,111.39,6/29/2026
pago de quincena,servicios,ingreso,fijo_vital,8372.01,6/30/2026
refresco en tienda,alimentacion,egreso,variable,82.45,6/30/2026
rappi hamburguesas,alimentacion,egreso,variable,334.3,6/30/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10000,1/4/2026
sueldo mensual,ingreso,ingreso,fijo_vital,10000,1/4/2026
renta departamento,vivienda,egreso,variable,1800,1/4/2026
pago de agua,vivienda,egreso,variable,250,2/4/2026
pago luz cfe,vivienda,egreso,variable,150,2/4/2026
gas lp,vivienda,egreso,variable,200,3/4/2026
internet telmex,servicios,egreso,variable,500,3/4/2026
plan de datos celular,servicios,egreso,variable,200,4/4/2026
netflix,ocio,egreso,fijo_no_vital,150,4/4/2026
spotify,ocio,egreso,variable,120,5/4/2026
gimnasio,ocio,egreso,variable,400,5/4/2026
tacos de canasta,alimentacion,egreso,variable,60,6/4/2026
refresco oxxo,alimentacion,egreso,variable,18,6/4/2026
comida en oxxo,alimentacion,egreso,variable,45,6/4/2026
pan bimbo,alimentacion,egreso,variable,35,7/4/2026
leche lala,alimentacion,egreso,variable,28,7/4/2026
huevo san juan,alimentacion,egreso,variable,42,7/4/2026
tortillas,alimentacion,egreso,variable,20,8/4/2026
frutas y verduras,alimentacion,egreso,variable,150,8/4/2026
coca-cola 600ml,alimentacion,egreso,variable,14,8/4/2026
sabritas,alimentacion,egreso,variable,22,9/4/2026
maruchan,alimentacion,egreso,variable,15,9/4/2026
pizza dominos,alimentacion,egreso,variable,250,9/4/2026
kfc,alimentacion,egreso,variable,180,10/4/2026
mcdonald's,alimentacion,egreso,variable,160,10/4/2026
burger king,alimentacion,egreso,variable,155,10/4/2026
comida corrida,alimentacion,egreso,variable,120,11/4/2026
sushi,alimentacion,egreso,variable,280,11/4/2026
pozole,alimentacion,egreso,variable,90,11/4/2026
tamales,alimentacion,egreso,variable,30,12/4/2026
elotes,alimentacion,egreso,variable,25,12/4/2026
esquites,alimentacion,egreso,variable,20,12/4/2026
café del oxxo,alimentacion,egreso,variable,25,13-04-26
agua de sabor,alimentacion,egreso,variable,12,13-04-26
galletas gamesa,alimentacion,egreso,variable,18,13-04-26
chicles,alimentacion,egreso,variable,6,14-04-26
dulces,alimentacion,egreso,variable,10,14-04-26
camiones,transporte,egreso,variable,32,14-04-26
leche nutri,transporte,egreso,variable,16.5,15-04-26
bono mensual,ingreso,ingreso,fijo_vital,500,15-04-26
metrobús,transporte,egreso,variable,15,15-04-26
taxi,transporte,egreso,variable,80,15-04-26
uber,transporte,egreso,variable,120,16-04-26
didi,transporte,egreso,variable,110,16-04-26
bono trabajo,servicios,ingreso,variable,100,16-04-26
transporte en el dia,transporte,egreso,variable,36,17-04-26
estacionamiento,transporte,egreso,variable,50,17-04-26
gomitas,alimentacion,egreso,variable,80,17-04-26
peaje,transporte,egreso,variable,100,18-04-26
bicicleta pública,transporte,egreso,variable,30,18-04-26
motor-taxi,transporte,egreso,variable,70,18-04-26
farmacia guadalajara,salud,egreso,variable,150,19-04-26
consultorio médico,salud,egreso,variable,500,19-04-26
dentista,salud,egreso,variable,800,19-04-26
medicina simi,salud,egreso,variable,75,20-04-26
paracetamol,salud,egreso,variable,40,20-04-26
antibioticos,salud,egreso,variable,120,20-04-26
vitaminas,salud,egreso,variable,90,21-04-26
examen de sangre,salud,egreso,variable,350,21-04-26
psicologo,salud,egreso,variable,600,21-04-26
terapia física,salud,egreso,variable,450,22-04-26
reparacion lentes,salud,egreso,variable,200,22-04-26
audífonos auditivos,salud,egreso,variable,150,22-04-26
seguro de salud,salud,egreso,fijo_vital,300,23-04-26
cita médica particular,salud,egreso,variable,550,23-04-26
colegiaturas,educacion,egreso,variable,1500,23-04-26
inscripción semestral,educacion,egreso,variable,360,24-04-26
libros,educacion,egreso,variable,600,24-04-26
útiles escolares,educacion,egreso,variable,200,24-04-26
cursos en línea,educacion,egreso,variable,350,25-04-26
plataforma educativa,educacion,egreso,variable,250,25-04-26
examen de admisión,educacion,egreso,variable,450,25-04-26
certificación oracle,educacion,egreso,variable,700,26-04-26
taller de arte,educacion,egreso,variable,300,26-04-26
clase de inglés,educacion,egreso,fijo_vital,600,26-04-26
clase de música,educacion,egreso,variable,400,27-04-26
diplomado,educacion,egreso,variable,1200,27-04-26
cine,ocio,egreso,variable,100,27-04-26
amazon prime,ocio,egreso,fijo_no_vital,130,28-04-26
disney+,ocio,egreso,fijo_no_vital,150,28-04-26
hbo max,ocio,egreso,fijo_no_vital,120,28-04-26
cerveza,ocio,egreso,variable,40,29-04-26
antro,ocio,egreso,variable,300,29-04-26
concierto,ocio,egreso,variable,800,29-04-26
deportes,ocio,egreso,variable,200,30-04-26
entrada a parque,ocio,egreso,variable,150,30-04-26
pasajes,transporte,egreso,variable,86,30-04-26
videojuegos,ocio,egreso,variable,500,30-04-26
salida a cenar,ocio,egreso,variable,350,1/5/2026
bar,ocio,egreso,variable,200,1/5/2026
cafetería,ocio,egreso,variable,80,1/5/2026
teléfono celular,servicios,egreso,variable,200,2/5/2026
recolección de basura,servicios,egreso,variable,150,2/5/2026
mantenimiento de elevador,servicios,egreso,variable,100,2/5/2026
cuota de condominio,servicios,egreso,variable,500,3/5/2026
seguro de auto,servicios,egreso,variable,350,3/5/2026
seguro de vida,servicios,egreso,variable,250,3/5/2026
pago tarjeta de crédito,deudas,egreso,variable,2000,4/5/2026
abono a préstamo,deudas,egreso,variable,500,4/5/2026
intereses,deudas,egreso,variable,200,4/5/2026
cobertura de deuda,deudas,egreso,variable,300,5/5/2026
pago a coppel,deudas,egreso,fijo_vital,400,5/5/2026
pago a electra,deudas,egreso,fijo_vital,350,5/5/2026
pago a crédito departamental,deudas,egreso,fijo_vital,250,6/5/2026
tacos de pastor,alimentacion,egreso,variable,70,6/5/2026
quesadillas,alimentacion,egreso,variable,45,6/5/2026
gorditas,alimentacion,egreso,variable,50,7/5/2026
sopes,alimentacion,egreso,variable,55,7/5/2026
huaraches,alimentacion,egreso,variable,60,7/5/2026
tostadas,alimentacion,egreso,variable,40,8/5/2026
pambazos,alimentacion,egreso,variable,65,8/5/2026
chilaquiles,alimentacion,egreso,variable,80,8/5/2026
enchiladas,alimentacion,egreso,variable,90,9/5/2026
mole,alimentacion,egreso,variable,100,9/5/2026
medio kilo de barbacoa,alimentacion,egreso,variable,120,9/5/2026
carnitas,alimentacion,egreso,variable,110,10/5/2026
coctel de camaron,alimentacion,egreso,variable,200,10/5/2026
ceviche,alimentacion,egreso,variable,150,10/5/2026
pescado frito,alimentacion,egreso,variable,130,11/5/2026
torta de tamal,alimentacion,egreso,variable,35,11/5/2026
taco de canasta (refresco),alimentacion,egreso,variable,15,11/5/2026
agua de horchata,alimentacion,egreso,variable,12,12/5/2026
agua de jamaica,alimentacion,egreso,variable,12,12/5/2026
jugo de naranja,alimentacion,egreso,variable,25,12/5/2026
smoothie,alimentacion,egreso,variable,40,13-05-26
yogurth,alimentacion,egreso,variable,18,13-05-26
cereal,alimentacion,egreso,variable,45,13-05-26
avena,alimentacion,egreso,variable,30,14-05-26
miel,alimentacion,egreso,variable,50,14-05-26
mermelada,alimentacion,egreso,variable,35,14-05-26
aceite,alimentacion,egreso,variable,60,15-05-26
vinagre,alimentacion,egreso,variable,20,15-05-26
sal,alimentacion,egreso,variable,10,15-05-26
azúcar,alimentacion,egreso,variable,22,16-05-26
café soluble,alimentacion,egreso,variable,40,16-05-26
té,alimentacion,egreso,variable,25,16-05-26
galletas de animalito,alimentacion,egreso,variable,15,17-05-26
paletas,alimentacion,egreso,variable,8,17-05-26
helado,alimentacion,egreso,variable,35,17-05-26
palomitas,alimentacion,egreso,variable,20,18-05-26
papas fritas,alimentacion,egreso,variable,22,18-05-26
botanas,alimentacion,egreso,variable,18,18-05-26
cacahuates,alimentacion,egreso,variable,15,19-05-26
nueces,alimentacion,egreso,variable,30,19-05-26
semillas,alimentacion,egreso,variable,25,19-05-26
ajonjolí,alimentacion,egreso,variable,20,20-05-26
chocolate,alimentacion,egreso,variable,25,20-05-26
cajeta,alimentacion,egreso,variable,18,20-05-26
dulce de leche,alimentacion,egreso,variable,22,21-05-26
mazapán,alimentacion,egreso,variable,10,21-05-26
despensa,alimentacion,egreso,fijo_vital,236,21-05-26
pulque,alimentacion,egreso,variable,30,22-05-26
tequila,alimentacion,egreso,variable,200,22-05-26
mezcal,alimentacion,egreso,variable,250,22-05-26
ron,alimentacion,egreso,variable,180,23-05-26
vodka,alimentacion,egreso,variable,170,23-05-26
whisky,alimentacion,egreso,variable,300,23-05-26
cerveza artesanal,alimentacion,egreso,variable,60,24-05-26
vino tinto,alimentacion,egreso,variable,150,24-05-26
vino blanco,alimentacion,egreso,variable,140,24-05-26
champán,alimentacion,egreso,variable,250,25-05-26
refresco de cola,alimentacion,egreso,variable,15,25-05-26
refresco de naranja,alimentacion,egreso,variable,15,25-05-26
agua mineral,alimentacion,egreso,variable,20,26-05-26
agua de coco,alimentacion,egreso,variable,18,26-05-26
jugo de manzana,alimentacion,egreso,variable,22,26-05-26
jugo de uva,alimentacion,egreso,variable,24,27-05-26
limonada,alimentacion,egreso,variable,12,27-05-26
naranjada,alimentacion,egreso,variable,15,27-05-26
ponche,alimentacion,egreso,variable,30,28-05-26
atole,alimentacion,egreso,variable,20,28-05-26
champurrado,alimentacion,egreso,variable,25,28-05-26
atole,alimentacion,egreso,variable,22,29-05-26
tamal de elote,alimentacion,egreso,variable,18,29-05-26
tamal de rajas,alimentacion,egreso,variable,20,29-05-26
tamal de mole,alimentacion,egreso,variable,22,30-05-26
tamal de frijol,alimentacion,egreso,variable,15,30-05-26
tamal de dulce,alimentacion,egreso,variable,18,30-05-26
papitas del oxxo,alimentacion,egreso,variable,18,31-05-26
uchepo,alimentacion,egreso,variable,25,31-05-26
pozole de pollo,alimentacion,egreso,variable,80,31-05-26
pozole de cerdo,alimentacion,egreso,variable,90,1/6/2026
menudo,alimentacion,egreso,variable,100,1/6/2026
birria,alimentacion,egreso,variable,120,1/6/2026
cochinita pibil,alimentacion,egreso,variable,150,2/6/2026
relleno negro,alimentacion,egreso,variable,130,2/6/2026
escabeche,alimentacion,egreso,variable,40,2/6/2026
crema corporal,servicios,egreso,variable,80,3/6/2026
sopa de lima,alimentacion,egreso,variable,60,3/6/2026
panes,alimentacion,egreso,variable,35,3/6/2026
2 pares de calcetines,servicios,egreso,variable,40,4/6/2026
tazon de papadzules,alimentacion,egreso,variable,55,4/6/2026
botella de agua,alimentacion,egreso,variable,8,4/6/2026
tzic de venado,alimentacion,egreso,variable,80,5/6/2026
manzanas,alimentacion,egreso,variable,18,5/6/2026
calabaza,alimentacion,egreso,variable,30,5/6/2026
nopal,alimentacion,egreso,variable,15,6/6/2026
huitlacoche,alimentacion,egreso,variable,50,6/6/2026
flor de calabaza,alimentacion,egreso,variable,40,6/6/2026
quintoniles,alimentacion,egreso,variable,35,7/6/2026
verdolagas,alimentacion,egreso,variable,20,7/6/2026
espinaca,alimentacion,egreso,variable,25,7/6/2026
lechuga,alimentacion,egreso,variable,18,8/6/2026
jitomate,alimentacion,egreso,variable,22,8/6/2026
cebolla,alimentacion,egreso,variable,15,8/6/2026
ajo,alimentacion,egreso,variable,10,9/6/2026
chile,alimentacion,egreso,variable,12,9/6/2026
pimiento,alimentacion,egreso,variable,18,9/6/2026
zanahoria,alimentacion,egreso,variable,14,10/6/2026
papa,alimentacion,egreso,variable,20,10/6/2026
camote,alimentacion,egreso,variable,18,10/6/2026
yuca,alimentacion,egreso,variable,22,11/6/2026
malanga,alimentacion,egreso,variable,25,11/6/2026
ñame,alimentacion,egreso,variable,30,11/6/2026
taro,alimentacion,egreso,variable,28,12/6/2026
frijol,alimentacion,egreso,variable,20,12/6/2026
lenteja,alimentacion,egreso,variable,25,12/6/2026
garbanzo,alimentacion,egreso,variable,30,13-06-26
haba,alimentacion,egreso,variable,28,13-06-26
alubia,alimentacion,egreso,variable,22,13-06-26
soya,alimentacion,egreso,variable,35,14-06-26
tofu,alimentacion,egreso,variable,40,14-06-26
seitán,alimentacion,egreso,variable,45,14-06-26
queso fresco,alimentacion,egreso,variable,50,15-06-26
queso manchego,alimentacion,egreso,variable,60,15-06-26
queso oaxaca,alimentacion,egreso,variable,55,15-06-26
queso panela,alimentacion,egreso,variable,45,16-06-26
crema,alimentacion,egreso,variable,25,16-06-26
mantequilla,alimentacion,egreso,variable,30,16-06-26
huevo,alimentacion,egreso,variable,35,17-06-26
pollo,alimentacion,egreso,variable,80,17-06-26
carne de res,alimentacion,egreso,variable,120,17-06-26
cerdo,alimentacion,egreso,variable,100,18-06-26
cordero,alimentacion,egreso,variable,150,18-06-26
pescado,alimentacion,egreso,variable,90,18-06-26
camaron,alimentacion,egreso,variable,200,19-06-26
pulpo,alimentacion,egreso,variable,180,19-06-26
calamar,alimentacion,egreso,variable,140,19-06-26
mejillon,alimentacion,egreso,variable,120,20-06-26
ostras,alimentacion,egreso,variable,160,20-06-26
almeja,alimentacion,egreso,variable,110,20-06-26
langosta,alimentacion,egreso,variable,300,21-06-26
cangrejo,alimentacion,egreso,variable,250,21-06-26
jaiba,alimentacion,egreso,variable,220,21-06-26
cosas para comer,alimentacion,egreso,variable,89,22 -06-26
pegamento,servicios,egreso,variable,23,22-06-26
madera,servicios,egreso,variable,680,22-06-26
tortillas,alimentacion,egreso,fijo_vital,18,22-06-26
desodorante,salud,egreso,variable,45,22-06-26
bono trabajo,servicios,ingreso,variable,50,22-06-26
compra material gran bodega,servicios,egreso,variable,40,22-06-26
compra de herramienta,servicios,egreso,variable,350,23-06-26
pagar la recoleccion de basura,servicios,egreso,fijo_vital,10,23-06-26
insumos en amazon,servicios,egreso,variable,300,23-06-26
nomina,ingreso,ingreso,variable,10000,23-06-26
youtube premium,ocio,egreso,variable,120,23-06-26
compra gaseosa y galletas en tambo,alimentacion,gasto,variable,7.5,7/20/2026
recibo de agua sedapal,servicios,gasto,variable,85,7/15/2026
pago de sueldo quincena bcp,servicios,ingreso,fijo_vital,1800,7/1/2026
pasaje metropolitano a miraflores,transporte,gasto,variable,3.5,6/28/2026
almuerzo menu ejecutivo san isidro,alimentacion,gasto,variable,16,7/19/2026
pasaje combi por javier prado,transporte,gasto,variable,2.5,7/19/2026
yape a bodega don pepe verduras,alimentacion,gasto,variable,34.5,7/18/2026
recibo de luz luz del sur,servicios,gasto,variable,142,7/17/2026
pension universidad san marcos,educacion,gasto,variable,110,7/16/2026
pago cuota tarjeta bcp,deudas,gasto,variable,450,7/15/2026
compras quincena plaza vea,alimentacion,gasto,variable,285.6,7/15/2026
consulta medica clinica ricardo palma,salud,gasto,variable,120,7/14/2026
medicina farmacia inkafarma,salud,gasto,variable,68.4,7/14/2026
pollo a la brasa pardos chicken,alimentacion,gasto,variable,89,7/13/2026
recarga bitel ilimitado,servicios,gasto,variable,30,7/12/2026
pago alquiler departamento lince,vivienda,gasto,variable,1400,7/10/2026
salida a cineplanet san miguel,ocio,gasto,variable,42,7/9/2026
cancha de futbol sintético con amigos,ocio,gasto,variable,25,7/8/2026
pago mantenimiento del edificio,vivienda,gasto,variable,180,7/7/2026
cobro trabajo freelance diseno web,servicios,ingreso,variable,850,7/5/2026
pasaje corredor rojo,transporte,gasto,variable,2.3,7/4/2026
compras de fruta en mercado de surquillo,alimentacion,gasto,variable,45,7/3/2026
suscripcion netflix familiar,ocio,gasto,fijo_no_vital,44.9,7/2/2026
pago de sueldo fin de mes bcp,servicios,ingreso,fijo_vital,1800,6/30/2026
pago internet claro fibra optica,servicios,gasto,variable,95,6/29/2026
corte de cabello en barberia,ocio,gasto,variable,35,6/27/2026
desayuno chicharron en lurin,alimentacion,gasto,variable,65,6/26/2026
